tract,population,state,county,median_income,burglaries_count,burglary_rate,burglaries_per_1000
015610,9141,47,037,72235.0,6.0,0.0006563833278634722,0.6563833278634722
018408,3753,47,037,118214.0,0.0,0.0,0.0
015615,5553,47,037,45552.0,2.0,0.0003601656762110571,0.3601656762110571
018201,2989,47,037,106413.0,3.0,0.0010036801605888257,1.0036801605888257
018405,4628,47,037,98869.0,2.0,0.000432152117545376,0.43215211754537597
010501,5240,47,037,60990.0,8.0,0.0015267175572519084,1.5267175572519083
010502,5726,47,037,60307.0,6.0,0.001047851903597625,1.047851903597625
011200,4068,47,037,67188.0,3.0,0.0007374631268436578,0.7374631268436578
011800,2700,47,037,43750.0,4.0,0.0014814814814814814,1.4814814814814814
011900,2530,47,037,51168.0,1.0,0.0003952569169960474,0.3952569169960474
012100,2525,47,037,116800.0,2.0,0.0007920792079207921,0.7920792079207921
012200,2100,47,037,91643.0,1.0,0.0004761904761904762,0.47619047619047616
012600,2205,47,037,50764.0,7.0,0.0031746031746031746,3.1746031746031744
012802,4363,47,037,42500.0,5.0,0.0011460004584001834,1.1460004584001833
013500,2364,47,037,70167.0,0.0,0.0,0.0
015618,6507,47,037,53969.0,2.0,0.0003073613032119256,0.3073613032119256
015802,5650,47,037,37449.0,7.0,0.001238938053097345,1.238938053097345
017401,2313,47,037,47500.0,3.0,0.0012970168612191958,1.297016861219196
017402,5386,47,037,41354.0,9.0,0.0016709988860007428,1.6709988860007428
018101,5451,47,037,38365.0,7.0,0.001284168042560998,1.284168042560998
013700,6345,47,037,32413.0,14.0,0.002206461780929866,2.206461780929866
013800,2099,47,037,37679.0,4.0,0.0019056693663649356,1.9056693663649356
013900,1617,47,037,29643.0,5.0,0.0030921459492888066,3.0921459492888066
016000,945,47,037,37083.0,7.0,0.007407407407407408,7.407407407407407
016200,3074,47,037,27174.0,21.0,0.0068314899154196486,6.831489915419649
016100,2345,47,037,48221.0,7.0,0.0029850746268656717,2.985074626865672
018401,7432,47,037,60518.0,8.0,0.001076426264800861,1.0764262648008611
018901,3054,47,037,53224.0,4.0,0.0013097576948264572,1.309757694826457
018902,2442,47,037,65365.0,2.0,0.000819000819000819,0.819000819000819
018203,1392,47,037,193542.0,0.0,0.0,0.0
018602,4187,47,037,188375.0,3.0,0.0007165034631000717,0.7165034631000717
018700,3197,47,037,183750.0,1.0,0.00031279324366593683,0.31279324366593686
010701,4092,47,037,43255.0,4.0,0.0009775171065493646,0.9775171065493646
014200,2024,47,037,23799.0,8.0,0.003952569169960474,3.952569169960474
014300,1860,47,037,35313.0,6.0,0.0032258064516129032,3.225806451612903
014800,3310,47,037,15730.0,18.0,0.005438066465256798,5.438066465256798
016300,2560,47,037,50710.0,53.0,0.020703125,20.703125
015100,3827,47,037,60710.0,5.0,0.0013065064018813691,1.3065064018813692
016400,4251,47,037,41048.0,3.0,0.0007057163020465773,0.7057163020465773
015200,2637,47,037,68787.0,3.0,0.0011376564277588168,1.1376564277588168
015402,4717,47,037,69740.0,6.0,0.0012719949120203519,1.2719949120203518
016500,4841,47,037,54491.0,4.0,0.0008262755629002272,0.8262755629002272
019108,3613,47,037,35430.0,7.0,0.0019374481040686411,1.937448104068641
015501,3190,47,037,56075.0,1.0,0.00031347962382445143,0.31347962382445144
019003,4519,47,037,47906.0,17.0,0.003761894224385926,3.761894224385926
016600,3054,47,037,55263.0,5.0,0.0016371971185330713,1.6371971185330714
016800,4849,47,037,58810.0,0.0,0.0,0.0
019110,3743,47,037,58024.0,3.0,0.0008014961261020571,0.8014961261020571
019105,6456,47,037,50486.0,5.0,0.0007744733581164808,0.7744733581164809
019106,4041,47,037,60699.0,3.0,0.0007423904974016332,0.7423904974016332
015502,3820,47,037,46786.0,2.0,0.0005235602094240838,0.5235602094240839
017100,2980,47,037,81524.0,2.0,0.0006711409395973154,0.6711409395973154
016900,5092,47,037,98875.0,8.0,0.0015710919088766694,1.5710919088766695
017902,4992,47,037,128141.0,1.0,0.00020032051282051281,0.2003205128205128
010201,4157,47,037,62829.0,4.0,0.0009622323791195574,0.9622323791195574
015627,2930,47,037,60000.0,1.0,0.00034129692832764505,0.3412969283276451
015623,5370,47,037,42734.0,5.0,0.000931098696461825,0.931098696461825
019116,6406,47,037,78264.0,2.0,0.00031220730565095225,0.3122073056509522
019115,3925,47,037,116641.0,7.0,0.0017834394904458599,1.78343949044586
019005,3337,47,037,30625.0,0.0,0.0,0.0
019600,3843,47,037,59072.0,5.0,0.0013010668748373666,1.3010668748373666
019300,3428,47,037,14277.0,19.0,0.005542590431738623,5.542590431738623
013400,4500,47,037,86010.0,5.0,0.0011111111111111111,1.1111111111111112
017000,3730,47,037,88958.0,7.0,0.0018766756032171583,1.8766756032171583
010302,2225,47,037,47449.0,0.0,0.0,0.0
010601,5365,47,037,63490.0,4.0,0.0007455731593662628,0.7455731593662628
015624,5254,47,037,58850.0,6.0,0.0011419870574800152,1.1419870574800153
015625,5942,47,037,62546.0,5.0,0.000841467519353753,0.841467519353753
